#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
5000,-463499.47702692356,86192.828125,-377306.64890192356,296.77830052208424,341.7762457297854,0
10000,-464373.71510835923,86429.8984375,-377943.81667085923,297.5945786971774,339.84390044957837,8.74
15000,-464486.5322934375,86309.3984375,-378177.1338559375,297.1796742788997,339.4576378426976,8.42
20000,-463017.10553075327,86345.0859375,-376672.01959325327,297.3025531289187,339.89793472378744,8.44
25000,-463665.73511122307,86161.140625,-377504.59448622307,296.669194432838,340.2590720678978,8.31
30000,-463932.5368913724,86453.765625,-377478.7712663724,297.676757963116,340.929066551025,8.29
35000,-463088.6725039766,86253.125,-376835.5475039766,296.98591413076343,341.1950739708369,8.28
40000,-464440.17032310134,86499.734375,-377940.43594810134,297.8350371123086,340.3636665053072,8.33
45000,-463842.05176638346,86334.453125,-377507.59864138346,297.2659423331928,339.50694182040394,8.32
50000,-463847.8904495742,87099.3125,-376748.5779495742,299.8994986323513,342.1736084560628,8.3
