#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
5000,-450448.4346465776,86868.015625,-363580.4190215776,299.10309950063913,405.10329326594416,0
10000,-453904.04969566176,86691.0546875,-367212.99500816176,298.49378933606397,390.08033067563866,9.61
15000,-455677.13462717645,87025.296875,-368651.83775217645,299.64464875820954,377.3602468599996,9.56
20000,-457030.4990732833,86932.3828125,-370098.1162607833,299.32472796940147,364.8274805345534,9.48
25000,-459259.02183493087,86860.953125,-372398.06870993087,299.07878196989986,353.12645239443725,9.29
30000,-460146.9459872707,87306.4296875,-372840.5162997707,300.61264250118944,348.14036049257413,9.14
35000,-460168.7190321265,86736.5,-373432.2190321265,298.65026619038974,343.2791545245259,8.92
40000,-461517.1544453595,86293.625,-375223.5294453595,297.125363333587,341.3141714782696,8.8
45000,-462681.6315994472,87340.015625,-375341.6159744472,300.7282852718181,338.3517379318908,8.75
50000,-462575.65849858476,86476.421875,-376099.23662358476,297.75476774093016,338.84276007492,8.74
